id,phase,owner,area,route,screen,feature,status,new,test,acceptance
"HC-SH-001","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · App header (analyse)","Logo (amber Δ mark + HapieCoin · Analyse) → /analyse","working","no","e2e (Playwright) · api contract · security","Rendered by CG.chrome['app-header'] variant 'analyse'; 50px panel-tone header with hairline bottom border; link to #/analyse"
"HC-SH-002","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · App header (analyse)","Admin badge next to logo (admin only, neutral mono chip) → /admin/users","working","no","e2e (Playwright) · api contract · security","Shown when CG.auth.isAdmin(); hidden for normal users"
"HC-SH-003","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · App header (analyse)","Asset switcher: BTC / ETH / XAUT segmented control (data-tour=asset-select) + 'Venue: Delta India'","working","no","unit (pricing) · e2e (Playwright)","Clicking a segment sets CG.state.asset, saves state, emits 'asset' and toasts; CG.chrome.openAssetMenu() dropdown kept for compatibility"
"HC-SH-004","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · App header (analyse)","Futures price + 24h % (DM Mono, tabular figures) with live flash on every tick","working","no","unit (pricing) · e2e (Playwright) · security","Label 'FUTURES · BTCUSD'; price flashes green/red vs previous tick; 24h % derived from base price"
"HC-SH-005","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · App header (analyse)","24h Change ± % (green/red) beside the price","working","no","e2e (Playwright)","Same cell as the price, semantic profit/loss colour"
"HC-SH-006","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · App header (analyse)","Feed status as text '● FEED LIVE · 84 ms' (latency jitters on each tick) — click pauses / reconnects","working","no","unit (pricing) · e2e (Playwright) · security","Replaces the green pill; dot turns grey when paused, amber while connecting; emits 'live-feed' and toasts"
"HC-SH-007","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · App header (analyse)","'Exchange' chip: Not connected / Connected (green when connected) → API Settings dialog","working","no","unit (pricing) · e2e (Playwright) · api contract","Opens the Delta Exchange API Settings dialog; turns green with 'Connected' when CG.state.exchangeConnected"
"HC-SH-008","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · App header (analyse)","Wallet balance chip ($1,000.00) when exchange connected","working","no","unit (pricing) · e2e (Playwright)","Opens balance popover: Available / Margin Used / Total Equity from CG.mock.wallet + 'Click to refresh' (refreshes numbers, toast)"
"HC-SH-009","5","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · App header (analyse)","Market Analytics moved out of the header into the settings menu, default-header tabs and the command palette","working","no","e2e (Playwright)","Settings → Market Analytics link, 'Market Analytics' tab on the default header, palette 'Market Analytics · …' commands"
"HC-SH-010","5","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · App header (analyse)","Currency toggle moved to the portfolio bar (CCY item) and settings menu / palette ('Display currency → INR')","working","no","e2e (Playwright)","CG.chrome.toggleCurrency() keeps the v1 behaviour (emits currency-settings-changed + currency, toasts)"
"HC-SH-011","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · App header (analyse)","Theme toggle (moon/sun) · 'Switch to Dark Mode' / 'Switch to Light Mode'","working","no","e2e (Playwright)","CG.theme.toggle(); header re-renders icon and title on 'theme' event"
"HC-SH-012","5","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · App header (analyse)","'Take a tour' moved to the settings menu and the command palette","working","no","e2e (Playwright)","CG.chrome.startTour() unchanged"
"HC-SH-013","1","Platform engineer","App shell, settings, tour, assistant, palette, alerts","/analyse","Shared chrome · App header (analyse)","Settings gear (data-tour=settings-menu)","working","no","e2e (Playwright)","Opens the settings dropdown menu"
